Priimek,Števec
prikl,0
tomić,0
trček,0
ban,0
cink,0
ferluga,1
kavčič,0
kotnik,1
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,0
košnik,0
horvat,1
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,1
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,114
logar,0
mahnič,0
podkrajšek,0
pojbič,0
šircelj,0
muršič,0
nemec,0
horvat,1
vrtovec,0
kovačič,0
hanžek,3
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,24
göncz,0
tanko,4
novak,0
han,1
sluga,0
tonin,1
jurša,0
gorenak,2
vervega,0
potočnik,0
kopmajer,0
žibert,1
godec,0
krivec,5
lisec,0
pogačnik,0
žnidar,1
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,3
verbič,0
mesec,43
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,1
dobovšek,0
bačič,0
klanjšček,0
radič,2
tabaković,0
